Number,Name,Type,LastEruptionYear,Country,Region,EvidenceCategory,MajorRocks,MinorRocks,PopulationClose
222021,Marsabit,Shield,Unknown,Kenya,Africa (eastern),Evidence Uncertain,Basalt / Picro-Basalt	Trachybasalt / Tephrite Basanite,,22677
211080,Marsili,Submarine,-1050,Italy,Italy,Eruption Dated,,,0
312140,Martin,Stratovolcano,1953,United States,Alaska Peninsula,Eruption Dated,Dacite	Andesite / Basaltic Andesite,,0
285061,Maruyama,Stratovolcano(es),1898,Japan,Hokkaido,Eruption Observed,Andesite / Basaltic Andesite	Dacite	Rhyolite,,6
273031,Masaraga,Stratovolcano,Unknown,Philippines,Luzon,Evidence Credible,Andesite / Basaltic Andesite	Dacite	Rhyolite,,141095
344100,Masaya,Caldera,2019,Nicaragua,Nicaragua,Eruption Observed,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,989888
341031,Mascota Volcanic Field,Pyroclastic cone(s),Unknown,Mexico,Mexico,Evidence Credible,Andesite / Basaltic Andesite	Trachybasalt / Tephrite Basanite	Trachyandesite / Basaltic Trachyandesite,,16293
300001,Mashkovtsev,Stratovolcano,Unknown,Russia,Kamchatka Peninsula,Evidence Credible,Basalt / Picro-Basalt,,19
285081,Mashu,Caldera,1080,Japan,Hokkaido,Eruption Dated,Andesite / Basaltic Andesite	Dacite	Basalt / Picro-Basalt,,9794
221105,Mat Ala,Shield,Unknown,Ethiopia,Africa (northeastern) and Red Sea,Evidence Credible,Basalt / Picro-Basalt	Andesite / Basaltic Andesite	Trachybasalt / Tephrite Basanite,,92
258010,Matthew Island,Stratovolcano,1956,France,Pacific Ocean (southwestern),Eruption Observed,Andesite / Basaltic Andesite	Dacite,,1
271020,Matutum,Stratovolcano,1290,Philippines,Mindanao,Eruption Dated,Andesite / Basaltic Andesite	Dacite,,10431
357061,"Maule, Laguna del",Caldera,-50,Chile,Central Chile and Argentina,Eruption Dated,Andesite / Basaltic Andesite	Rhyolite	Basalt / Picro-Basalt,,1045
332030,Mauna Kea,Shield,-2460,United States,Hawaiian Islands,Eruption Dated,Basalt / Picro-Basalt	Trachyandesite / Basaltic Trachyandesite	Trachybasalt / Tephrite Basanite,,126
332020,Mauna Loa,Shield,1984,United States,Hawaiian Islands,Eruption Observed,Basalt / Picro-Basalt,,45
273030,Mayon,Stratovolcano,2019,Philippines,Luzon,Eruption Observed,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,,248448
241021,Mayor Island,Shield,-5060,New Zealand,New Zealand,Eruption Dated,Rhyolite,,105
233005,Mayotte,Shield,2019,France,Indian Ocean (western),Eruption Observed,Basalt / Picro-Basalt	Trachyte / Trachydacite	Trachybasalt / Tephrite Basanite,,0
234011,McDonald Islands,Complex,2005,Australia,Indian Ocean (southern),Eruption Observed,Phonolite	Phono-tephrite /  Tephri-phonolite,,0
320180,Meager,Complex,-410,Canada,Canada,Eruption Dated,Dacite	Andesite / Basaltic Andesite,Basalt / Picro-Basalt,111
323020,Medicine Lake,Shield,1060,United States,USA (California),Eruption Dated,Basalt / Picro-Basalt	Andesite / Basaltic Andesite	Rhyolite,Dacite,0
221330,Mega Basalt Field,Pyroclastic cone(s),Unknown,Ethiopia-Kenya,Africa (northeastern) and Red Sea,Evidence Credible,Basalt / Picro-Basalt,,2815
283262,Megata,Maar(s),-2050,Japan,Honshu,Eruption Dated,Andesite / Basaltic Andesite	Basalt / Picro-Basalt	Dacite,,3577
333040,Mehetia,Stratovolcano,Unknown,France,Pacific Ocean (central),Evidence Credible,Trachybasalt / Tephrite Basanite	Basalt / Picro-Basalt,Phono-tephrite /  Tephri-phonolite,114
225050,Meidob Volcanic Field,Pyroclastic cone(s),-2950,Sudan,Africa (northern),Eruption Dated,Trachybasalt / Tephrite Basanite	Basalt / Picro-Basalt,Phonolite	Trachyte / Trachydacite	Trachyandesite / Basaltic Trachyandesite,5140
390015,Melbourne,Stratovolcano,1892,Antarctica,Antarctica and South Sandwich Islands,Eruption Dated,Trachyte / Trachydacite	Trachyandesite / Basaltic Trachyandesite	Basalt / Picro-Basalt,Rhyolite,0
358052,Melimoyu,Stratovolcano,200,Chile,Southern Chile and Argentina,Eruption Dated,Andesite / Basaltic Andesite	Dacite	Basalt / Picro-Basalt,,6
390847,Melville,Stratovolcano,Unknown,Antarctica,Antarctica and South Sandwich Islands,Evidence Uncertain,,,0
222060,Menengai,Shield,-6050,Kenya,Africa (eastern),Eruption Dated,Trachyte / Trachydacite	Rhyolite	Basalt / Picro-Basalt,,204608
358054,Mentolat,Stratovolcano,1710,Chile,Southern Chile and Argentina,Eruption Observed,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,,8
263250,Merapi,Stratovolcano,2019,Indonesia,Java,Eruption Observed,Andesite / Basaltic Andesite	Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt	Trachybasalt / Tephrite Basanite,185849
263240,Merbabu,Stratovolcano,1797,Indonesia,Java,Eruption Observed,Basalt / Picro-Basalt	Trachyandesite / Basaltic Trachyandesite	Andesite / Basaltic Andesite,,249747
257021,Mere Lava,Stratovolcano,Unknown,Vanuatu,Vanuatu,Evidence Credible,Basalt / Picro-Basalt,,73
222160,Meru,Stratovolcano,1910,Tanzania,Africa (eastern),Eruption Observed,Phonolite	Foidite	Phono-tephrite /  Tephri-phonolite,,2506
212020,Methana,Lava dome(s),-258,Greece,Greece,Eruption Observed,Andesite / Basaltic Andesite	Dacite,,1683
358064,Meullin,Volcanic field,Unknown,Chile,Southern Chile and Argentina,Evidence Credible,Basalt / Picro-Basalt,,0
300570,Mezhdusopochny,Shield,Unknown,Russia,Kamchatka Peninsula,Evidence Uncertain,Basalt / Picro-Basalt,,0
358040,Michinmahuida,Stratovolcano,1835,Chile,Southern Chile and Argentina,Eruption Observed,Andesite / Basaltic Andesite	Basalt / Picro-Basalt	Rhyolite,,9
341060,Michoacan-Guanajuato,Pyroclastic cone(s),1952,Mexico,Mexico,Eruption Observed,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite	Trachybasalt / Tephrite Basanite	Dacite,5783287
283080,Midagahara,Stratovolcano,1839,Japan,Honshu,Eruption Observed,Andesite / Basaltic Andesite	Dacite,,521
284041,Mikurajima,Stratovolcano,-4100,Japan,"Izu, Volcano, and Mariana Islands",Eruption Dated,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,293
320120,Milbanke Sound Group,Pyroclastic cone(s),Unknown,Canada,Canada,Evidence Credible,Basalt / Picro-Basalt,,574
290161,Milna,Stratovolcano,1914,Russia,Kuril Islands,Eruption Observed,Andesite / Basaltic Andesite,,47
212030,Milos,Stratovolcano(es),140,Greece,Greece,Eruption Dated,Rhyolite	Andesite / Basaltic Andesite	Dacite,,7389
